stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5066,7218,MT BAKER HWY AT MOSQUITO LAKE RD,,48.838299,-122.16685,1,,,,,0
5067,7222,MT BAKER HWY AT SMITH RD,,48.831379,-122.30649,1,,,,,0
5068,7777,SB LAKE LOUISE RD AT NATURE RESERVE,,48.732346,-122.37813,1,,,,,0
5070,7200,EB MT BAKER HWY AT NOON RD,,48.803104,-122.39898,1,,,,,0
5072,7202,EB MT BAKER HWY AT NUGENTS CORNER,,48.843494,-122.28697,1,,,,,0
5073,7221,WB MT BAKER HWY AT NUGENTS CORNER,,48.843658,-122.28595,1,,,,,0
5074,7203,EB DEMING RD AT MT BAKER H.S.,,48.824623,-122.22083,1,,,,,0
5075,7220,WB DEMING RD AT MT BAKER H.S.,DEMING RD AT MT BAKER HS,48.824787,-122.22112,1,,,,,0
5076,7204,EB DEMING RD AT NOOKSACK CASINO,DEMING CASINO,48.823143,-122.21414,1,,,,,0
5077,7219,WB DEMING RD AT NOOKSACK CASINO,DEMING CASINO,48.823235,-122.21418,1,,,,,0
5078,7216,EB KENDALL RD AT KENDALL ELEMENTARY,,48.917068,-122.14099,1,,,,,0
5079,7209,EB SHAMROCK RD AT AZURE WAY,,48.950138,-122.15239,1,,,,,0
5081,7211,SB GOLDEN VALLEY DR AT CIMARRON WAY,,48.950256,-122.14479,1,,,,,0
5082,7212,WB CHESTNUT DR AT HOLLY LN,,48.945713,-122.14787,1,,,,,0
5084,7259,SB JAMES ST AT CAROLINA ST,,48.76062,-122.46506,1,,,,,0
5085,7260,SB JAMES ST AT KENTUCKY ST,,48.757961,-122.46503,1,,,,,0
5087,7262,SB N STATE ST AT GRANT ST,,48.753986,-122.46905,1,,,,,0
5091,7228,NB JAMES ST AT KENTUCKY ST,,48.758068,-122.46477,1,,,,,0
5092,7229,NB JAMES ST AT CAROLINA ST,,48.760651,-122.46476,1,,,,,0
5095,7252,WB E SUNSET DR AT 2500 BLOCK,,48.777885,-122.44061,1,,,,,0
5096,7253,WB E SUNSET DR AT WOBURN ST,,48.77673,-122.44621,1,,,,,0
5099,7257,SB JAMES ST AT E CONNECTICUT ST,,48.765396,-122.46505,1,,,,,0
5100,7234,EB E SUNSET DR AT RACINE ST,,48.774906,-122.45271,1,,,,,0
5101,7235,EB E SUNSET DR AT WOBURN ST,,48.776775,-122.44431,1,,,,,0
5107,7223,WB MT BAKER HWY AT NOON RD,,48.803562,-122.39842,1,,,,,0
5108,7208,NB KENDALL RD AT OREGON TRAIL,,48.931301,-122.14316,1,,,,,0
5109,7215,PEACEFUL VALLEY DR AT CLEAR VALLEY,,48.939308,-122.14436,1,,,,,0
5110,7213,WB DEEP VALLEY DR AT RED VALLEY LN,,48.941612,-122.14178,1,,,,,0
5111,7214,WB KING VALLEY DR AT GREEN VALLEY,,48.938957,-122.14056,1,,,,,0
5114,7241,HWY 9 at VANZANDT COMMUNITY CENTER,,48.789528,-122.19041,1,,,,,0
5115,7240,NB CHISHOLM TRAIL AT CAMPERS CORNER,,48.9272,-122.13999,1,,,,,0
5116,7294,SB GOLDEN VALLEY DR AT CHESTNUT DR,,48.946613,-122.14423,1,,,,,0
5117,7206,KENDALL RD AT MT BAKER HWY,KENDALL RD @ MT BAKER HWY,48.916985,-122.13878,1,,,,,0
5125,7145,WB W KELLOGG RD AT MERIDIAN ST,,48.795303,-122.48797,1,,,,,0
5126,2121,WB W CHAMPION ST AT UNITY ST,,48.751987,-122.47706,1,,,,,0
5127,3195,NB GRAND AVE AT GIRARD ST,,48.756359,-122.4795,1,,,,,0
5128,3196,NB GIRARD ST AT C ST,,48.757626,-122.48031,1,,,,,0
5129,3197,NB GIRARD ST AT G ST,,48.759262,-122.48282,1,,,,,0
5130,3198,NB GIRARD ST AT J ST,,48.760761,-122.48512,1,,,,,0
5131,3199,NB MERIDIAN ST AT BROADWAY,,48.761719,-122.48598,1,,,,,0
5132,2219,NB MERIDIAN ST AT W NORTH ST,,48.764759,-122.48598,1,,,,,0
5133,2221,NB MERIDIAN ST AT OREGON ST,,48.771191,-122.48595,1,,,,,0
5134,3200,NB MERIDIAN ST AT E VICTOR ST,,48.77396,-122.48594,1,,,,,0
5135,2222,NB MERIDIAN ST AT W ORCHARD DR,,48.779175,-122.48596,1,,,,,0
5136,2305,SB MERIDIAN ST AT MCLEOD RD,,48.781891,-122.48633,1,,,,,0
5137,3090,SB MERIDIAN ST AT E VICTOR ST,,48.773632,-122.48617,1,,,,,0
